num_particles,inertia,cognition,social,gen,epoch_stop,solution_found,fitness
40, 0.5, 2.6, 1.5, 1, 181, [1. 3.], 1.0127819130672548e-23
40, 0.5, 2.6, 1.5, 2, 209, [1. 3.], 1.072850831100576e-28
40, 0.5, 2.6, 1.5, 3, 163, [1. 3.], 1.4478431483167046e-21
40, 0.5, 2.6, 1.5, 4, 170, [1. 3.], 5.923418486646164e-24
40, 0.5, 2.6, 1.5, 5, 233, [1. 3.], 0.0
40, 0.5, 2.6, 1.5, 6, 167, [1. 3.], 3.614726423176081e-22
40, 0.5, 2.6, 1.5, 7, 181, [1. 3.], 9.084981932660735e-23
40, 0.5, 2.6, 1.5, 8, 183, [1. 3.], 3.193435162079491e-25
40, 0.5, 2.6, 1.5, 9, 219, [1. 3.], 2.524354896707238e-28
40, 0.5, 2.6, 1.5, 10, 196, [1. 3.], 3.149035703750937e-24
40, 0.5, 2.6, 1.5, 11, 198, [1. 3.], 1.0430634433194306e-25
40, 0.5, 2.6, 1.5, 12, 187, [1. 3.], 1.1735079466945947e-21
40, 0.5, 2.6, 1.5, 13, 205, [1. 3.], 9.923870187680329e-27
40, 0.5, 2.6, 1.5, 14, 175, [1. 3.], 5.6502714539088625e-24
40, 0.5, 2.6, 1.5, 15, 181, [1. 3.], 7.89905061236685e-22
40, 0.5, 2.6, 1.5, 16, 177, [1. 3.], 1.133556647818641e-21
40, 0.5, 2.6, 1.5, 17, 184, [1. 3.], 1.2021687992934565e-25
40, 0.5, 2.6, 1.5, 18, 181, [1. 3.], 3.047695476422625e-24
40, 0.5, 2.6, 1.5, 19, 220, [1. 3.], 8.088190861231034e-27
40, 0.5, 2.6, 1.6, 0, 164, [1. 3.], 8.503553343531127e-23
40, 0.5, 2.6, 1.6, 1, 243, [1. 3.], 1.1761127235940065e-26
40, 0.5, 2.6, 1.6, 2, 194, [1. 3.], 2.1523886783225296e-22
40, 0.5, 2.6, 1.6, 3, 181, [1. 3.], 1.2943475904989844e-22
40, 0.5, 2.6, 1.6, 4, 171, [1. 3.], 5.40282669275502e-23
40, 0.5, 2.6, 1.6, 5, 180, [1. 3.], 7.459224172889269e-23
40, 0.5, 2.6, 1.6, 6, 163, [1. 3.], 4.3061053984569724e-21
40, 0.5, 2.6, 1.6, 7, 237, [1. 3.], 3.8121703244805395e-26
40, 0.5, 2.6, 1.6, 8, 223, [1. 3.], 8.71691300269218e-28
40, 0.5, 2.6, 1.6, 9, 213, [1. 3.], 1.3284417643921839e-25
40, 0.5, 2.6, 1.6, 10, 197, [1. 3.], 1.9137765560661746e-26
40, 0.5, 2.6, 1.6, 11, 193, [1. 3.], 8.12783112171839e-25
40, 0.5, 2.6, 1.6, 12, 171, [1. 3.], 1.5317944082150077e-21
40, 0.5, 2.6, 1.6, 13, 159, [1. 3.], 5.722500537570019e-18
40, 0.5, 2.6, 1.6, 14, 263, [1. 3.], 0.0
40, 0.5, 2.6, 1.6, 15, 208, [1. 3.], 3.4581768818716627e-25
40, 0.5, 2.6, 1.6, 16, 196, [1. 3.], 2.8096462695310175e-22
40, 0.5, 2.6, 1.6, 17, 166, [1. 3.], 3.080956920855664e-21
40, 0.5, 2.6, 1.6, 18, 193, [1. 3.], 3.150820872313625e-22
